parameter,value
TA,483457.24308765423
TB,88347.64825867464
TF,51166.128542006336
Ne,13580.373657849503
NA,27142.07281765073
NB,1834.8116479610317
NEu0,2761.3347067250797
NEuF,26462.05884107293
NAs0,1954.52946761033
NAsF,15363.53634144032
mAfB,2.501606466512543e-05
mAfEu,3.2948319408915263e-06
mAfAs,6.62400743683469e-05
mEuAs,0.00015859499514691533
