parameter,value
TA,782166.710768297
TB,107416.23228118748
TF,44668.64970235773
Ne,11577.44060294043
NA,24691.4075292242
NB,2556.6660339683012
NEu0,2483.2445973555714
NEuF,30163.2505346523
NAs0,1924.1658454709668
NAsF,13338.597889823102
mAfB,2.5847348950592243e-05
mAfEu,3.985223203657952e-06
mAfAs,6.411875801487908e-05
mEuAs,0.0001585513950638571
